Date,Calib.Date,Time,Tank,Treatment,Type,Temperature,pH.MV,Salinity,Initials,Notes
20190708,20190621,10:40,5,NA,NA,28.5,-57.3,36.97,EC/BS,
20190708,20190621,10:40,6,NA,NA,28.5,-57.5,37.04,EC/BS,
20190709,20190708,14:02,5,Ambient,Acclimation,29.04,-60.9,37.18,KW/BS,
20190709,20190708,14:02,6,Hot,Acclimation,29.17,-59.8,37.1,KW/BS,
20190710,20190708,10:46,5,Ambient,Acclimation,27.6,-58.2,36.92,EC/BS,
20190710,20190708,10:46,6,Hot,Acclimation,27.6,-58.5,36.71,EC/BS,
20190710,20190708,19:07,5,Ambient,Experimental,27.78,-60.2,37.1,KW/RJ,
20190710,20190708,19:07,6,Hot,Experimental,29.11,-60.5,37.06,KW/RJ,
20190711,20190708,11:10,5,Ambient,Experimental,27.6,-59.8,36.99,EC/RJ,
20190711,20190708,11:10,6,Hot,Experimental,29.3,-60,37.08,EC/RJ,
20190711,20190708,19:30,5,Ambient,Experimental,27.92,,37.12,EC/KW,
20190711,20190708,19:30,6,Hot,Experimental,30.67,,37.36,EC/KW,
20190712,20190708,11:15,5,Ambient,Experimental,27.73,-58.2,37.1,RJ/EC,
20190712,20190708,11:15,6,Hot,Experimental,31.08,-58.3,37.28,RJ/EC,
20190713,20190708,19:09,5,Ambient,Experimental,28.64,-62.2,37.1,RJ/EC,
20190713,20190708,19:09,6,Hot,Experimental,30.34,-61.4,37.25,RJ/EC,
20190714,20190708,18:40,5,Ambient,Experimental,28.73,-62.1,37.4,KW/EC,
20190714,20190708,18:40,6,Hot,Experimental,30.01,-62.1,37.26,KW/EC,
20190715,20190708,18:36,6,Hot,Experimental,30.2,-65.7,37.33,KW/RJ,
20190715,20190708,18:36,5,Ambient,Experimental,28.1,-63.8,37.08,KW/RJ,
20190716,20190708,18:53,5,Ambient,Experimental,28.4,-60.9,37.17,KW/RJ,
20190716,20190708,18:53,6,Hot,Experimental,30.4,-62.8,37.34,KW/RJ,
20190717,20190708,18:43,5,Ambient,Experimental,28.4,-63.6,37.16,MW/RJ,
20190717,20190708,18:43,6,Hot,Experimental,30.7,-66.4,37.25,MW/RJ,
20190719,20190708,9:30,5,Ambient,Experimental,28.6,-54.8,37.25,KW/MW,
20190719,20190708,9:30,6,Hot,Experimental,30.8,-52.4,37.29,KW/MW,
20190722,20190708,10:00,5,Ambient,Experimental,30,-51,37.27,KW/MW,
20190722,20190708,10:00,6,Hot,Experimental,31.4,-46.2,37.31,KW/MW,
20190723,20190708,18:30,5,Ambient,Experimental,29.34,-60.9,37.43,KW/MW,
20190723,20190708,18:30,6,Hot,Experimental,31.23,-59.1,37.56,KW/MW,
20190724,20190708,19:00,5,Ambient,Experimental,28.8,-58.3,37.54,KW,
20190724,20190708,19:00,6,Hot,Experimental,31.31,-54.6,37.84,KW,
20190725,20190708,18:35,5,Ambient,Experimental,28.9,-59.3,37.5,KW,
20190725,20190708,18:35,6,Hot,Experimental,31.4,-59.5,37.55,KW,
