"","ASV","Metabolite","Corr.r","Phylum","Class","Order","Family","Genus","Species"
"1","ASV-1041","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured uncultured_bacterium"
"2","ASV-1079","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella","Unclassified  Lewinella"
"3","ASV-1101","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unclassified  uncultured"
"4","ASV-1115","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter","Portibacter uncultured_bacterium"
"5","ASV-1121","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unclassified  uncultured"
"6","ASV-1164","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens","Unclassified  Salinirepens"
"7","ASV-1176","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Unclassified Flavobacteriales","Unclassified Flavobacteriales","Unclassified Flavobacteriales"
"8","ASV-1358","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Unclassified  Tenacibaculum"
"9","ASV-1394","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","Unclassified  Winogradskyella"
"10","ASV-1426","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","uncultured","uncultured","uncultured uncultured_organism"
"11","ASV-147","Glycerate",0.876436807541197,"Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured uncultured_soil"
"12","ASV-1473","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales"
"13","ASV-1525","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_Flammeovirgaceae"
"14","ASV-1541","Feature 126",-0.85113896010708,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"15","ASV-1541","Feature 112",-0.853757717537775,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"16","ASV-1541","Feature 101",-0.851746654168931,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"17","ASV-1546","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"18","ASV-1567","Feature 104",-0.956938224808768,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"19","ASV-1567","Feature 107",-0.958481434721449,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"20","ASV-1567","Feature 114",-0.945968334055948,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"21","ASV-1567","Feature 105",-0.94817383860584,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"22","ASV-1567","Feature 112",-0.971195608809945,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"23","ASV-1567","Feature 103",-0.946000591701998,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"24","ASV-1567","Feature 100",-0.893293237393772,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"25","ASV-1567","Feature 10",0.918783359833687,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"26","ASV-1567","Feature 117",-0.934519161871766,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"27","ASV-1567","Feature 12",0.944469705305955,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"28","ASV-1567","Feature 16",0.906381207388828,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"29","ASV-1567","Feature 60",-0.905057329145893,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"30","ASV-1567","Feature 113",-0.937373677581202,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"31","ASV-1567","Feature 18",-0.870188093630625,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"32","ASV-1567","Feature 66",0.88629635484333,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"33","ASV-1567","Feature 108",-0.968623063605836,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"34","ASV-1567","Feature 102",-0.971860139361527,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"35","ASV-1567","Feature 126",-0.976747985765436,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"36","ASV-1567","Feature 110",-0.947660946671029,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"37","ASV-1567","Feature 141",-0.897765879639991,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"38","ASV-1567","Feature 84",0.913577347327806,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"39","ASV-1567","Feature 118",-0.967281849621057,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"40","ASV-1567","Feature 138",-0.972313095138255,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"41","ASV-1567","Feature 53",0.90962061841098,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"42","ASV-1567","Feature 62",0.941102577898725,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"43","ASV-1567","Feature 125",-0.905174894787788,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"44","ASV-1567","Feature 139",-0.970087824542204,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"45","ASV-1567","Feature 56",-0.969153466723286,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"46","ASV-1567","Feature 14",0.943008584123149,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
