Well,540
A1,0.171
B1,0.07
C1,0.059
D1,0.098
E1,0.044
F1,0.044
G1,0.044
H1,0.046
A2,0.127
B2,0.06
C2,0.077
D2,0.078
E2,0.045
F2,0.044
G2,0.046
H2,0.045
A3,0.09
B3,0.054
C3,0.075
D3,0.083
E3,0.045
F3,0.044
G3,0.044
H3,0.045
A4,0.081
B4,0.057
C4,0.086
D4,0.095
E4,0.044
F4,0.045
G4,0.045
H4,0.046
A5,0.081
B5,0.067
C5,0.098
D5,0.089
E5,0.045
F5,0.045
G5,0.046
H5,0.045
A6,0.045
B6,0.067
C6,0.088
D6,0.11
E6,0.045
F6,0.045
G6,0.045
H6,0.045
A7,0.076
B7,0.053
C7,0.072
D7,0.069
E7,0.044
F7,0.045
G7,0.045
H7,0.046
A8,0.085
B8,0.059
C8,0.101
D8,0.076
E8,0.044
F8,0.045
G8,0.047
H8,0.045
A9,0.046
B9,0.053
C9,0.068
D9,0.068
E9,0.045
F9,0.045
G9,0.045
H9,0.044
A10,0.071
B10,0.052
C10,0.077
D10,0.083
E10,0.044
F10,0.045
G10,0.045
H10,0.047
A11,0.073
B11,0.077
C11,0.056
D11,0.091
E11,0.046
F11,0.044
G11,0.045
H11,0.044
A12,0.055
B12,0.102
C12,0.083
D12,0.091
E12,0.045
F12,0.045
G12,0.044
H12,0.056
