Sample Name,% Dups,% GC,Length,M Seqs
WSH129_S148_L001_R1_001,95.40%,48%,259 bp,0.1
WSH129_S148_L001_R2_001,90.40%,48%,262 bp,0.1
WSH130_S160_L001_R1_001,94.70%,48%,260 bp,0.1
WSH130_S160_L001_R2_001,88.80%,49%,263 bp,0.1
WSH131_S172_L001_R1_001,90.90%,47%,260 bp,0
WSH131_S172_L001_R2_001,78.20%,46%,262 bp,0
WSH132_S184_L001_R1_001,94.40%,52%,261 bp,0.1
WSH132_S184_L001_R2_001,89.60%,52%,263 bp,0.1
WSH133_S101_L001_R1_001,94.70%,48%,248 bp,0
WSH133_S101_L001_R2_001,90.60%,49%,252 bp,0
WSH134_S113_L001_R1_001,94.10%,49%,258 bp,0
WSH134_S113_L001_R2_001,90.80%,50%,262 bp,0
WSH135_S125_L001_R1_001,90.60%,51%,266 bp,0
WSH135_S125_L001_R2_001,83.00%,51%,268 bp,0
WSH136_S137_L001_R1_001,91.60%,48%,269 bp,0
WSH136_S137_L001_R2_001,85.20%,49%,272 bp,0
WSH137_S149_L001_R1_001,93.20%,45%,250 bp,0
WSH137_S149_L001_R2_001,84.40%,45%,254 bp,0
WSH138_S161_L001_R1_001,93.00%,50%,271 bp,0.1
WSH138_S161_L001_R2_001,86.60%,51%,274 bp,0.1
WSH139_S173_L001_R1_001,94.50%,47%,245 bp,0
WSH139_S173_L001_R2_001,88.80%,47%,249 bp,0
WSH140_S185_L001_R1_001,95.00%,50%,252 bp,0.1
WSH140_S185_L001_R2_001,90.40%,50%,256 bp,0.1
WSH141_S102_L001_R1_001,92.80%,49%,253 bp,0
WSH141_S102_L001_R2_001,85.40%,50%,258 bp,0
WSH142_S114_L001_R1_001,92.50%,50%,262 bp,0
WSH142_S114_L001_R2_001,85.50%,51%,265 bp,0
WSH143_S126_L001_R1_001,92.50%,50%,267 bp,0
WSH143_S126_L001_R2_001,84.80%,50%,271 bp,0
WSH144_S138_L001_R1_001,95.10%,49%,256 bp,0
WSH144_S138_L001_R2_001,88.40%,49%,261 bp,0
WSH145_S150_L001_R1_001,93.60%,49%,266 bp,0
WSH145_S150_L001_R2_001,86.50%,49%,269 bp,0
WSH146_S162_L001_R1_001,93.50%,49%,260 bp,0
WSH146_S162_L001_R2_001,86.00%,49%,265 bp,0
WSH147_S174_L001_R1_001,95.30%,49%,253 bp,0
WSH147_S174_L001_R2_001,90.20%,49%,259 bp,0
WSH148_S186_L001_R1_001,92.70%,48%,252 bp,0
WSH148_S186_L001_R2_001,85.50%,48%,256 bp,0
WSH149_S103_L001_R1_001,92.80%,49%,259 bp,0
WSH149_S103_L001_R2_001,86.00%,50%,264 bp,0
WSH150_S115_L001_R1_001,92.90%,46%,264 bp,0
WSH150_S115_L001_R2_001,87.70%,47%,267 bp,0
WSH151_S127_L001_R1_001,92.30%,49%,255 bp,0
WSH151_S127_L001_R2_001,84.70%,49%,259 bp,0
WSH152_S139_L001_R1_001,92.00%,51%,259 bp,0
WSH152_S139_L001_R2_001,83.20%,51%,263 bp,0
WSH153_S151_L001_R1_001,92.50%,49%,253 bp,0
WSH153_S151_L001_R2_001,82.60%,49%,257 bp,0
WSH154_S163_L001_R1_001,89.90%,43%,253 bp,0
WSH154_S163_L001_R2_001,76.90%,43%,257 bp,0
WSH155_S175_L001_R1_001,92.40%,49%,252 bp,0
WSH155_S175_L001_R2_001,84.00%,48%,257 bp,0
WSH156_S187_L001_R1_001,93.80%,48%,237 bp,0
WSH156_S187_L001_R2_001,87.70%,48%,242 bp,0
WSH157_S104_L001_R1_001,95.30%,51%,251 bp,0
WSH157_S104_L001_R2_001,91.20%,51%,254 bp,0
