SampleID	Fragment_ID	Colony_ID	Timepoint	Group
#q2:types	categorical	categorical	categorical	categorical
WSH129	R37-A1	R37	0	Bleached
WSH130	R23-A2	R23	37	Control
WSH131	R20-A2	R20	37	Bleached
WSH132	R35-A2	R35	37	Mortality
WSH133	R40-A2	R40	37	Control
WSH134	R17-A1	R17	0	Control
WSH135	R29-A2	R29	37	Bleached
WSH136	R11-A2	R11	37	Mortality
WSH137	R20-A4	R20	52	Bleached
WSH138	R28-A4	R28	52	Mortality
WSH139	R19-A1	R19	0	Bleached
WSH140	R20-A1	R20	0	Bleached
WSH141	R8-A1	R8	0	Bleached
WSH142	R11-A1	R11	0	Mortality
WSH143	R32-A4	R32	52	Control
WSH144	R7-A4	R7	52	Control
WSH145	R32-A2	R32	37	Control
WSH146	R28-A2	R28	37	Mortality
WSH147	R7-A2	R7	37	Control
WSH148	R19-A2	R19	37	Bleached
WSH149	R36-A4	R36	52	Mortality
WSH150	R35-A4	R35	52	Mortality
WSH151	R8-A4	R8	52	Bleached
WSH152	R29-A1	R29	0	Bleached
WSH153	R26-A1	R26	0	Mortality
WSH154	R19-A4	R19	52	Bleached
WSH155	R17-A2	R17	37	Control
WSH156	R37-A2	R37	37	Bleached
WSH157	R32-A1	R32	0	Control
WSH158	R36-A1	R36	0	Mortality
WSH159	R7-A1	R7	0	Control
WSH160	R26-A2	R26	37	Mortality
WSH161	R8-A2	R8	37	Bleached
WSH162	R36-A2	R36	37	Mortality
WSH163	R11-A4	R11	52	Mortality
WSH164	R29-A4	R29	52	Bleached
WSH165	R23-A1	R23	0	Control
WSH166	R35-A1	R35	0	Mortality
WSH167	R28-A1	R28	0	Mortality
WSH168	R23-A4	R23	52	Control
WSH169	R37-A4	R37	52	Bleached
WSH170	R40-A4	R40	52	Control
WSH171	R26-A4	R26	52	Mortality
WSH172	R40-A1	R40	0	Control
WSH173	R17-A4	R17	52	Control
