Plate,Well,SampleID,Vial,Fragment_ID,Colony_ID,Timepoint,Group
2,E4,WSH129,10,R37-A1,R37,0,Bleached
2,F4,WSH130,11,R23-A2,R23,37,Control
2,G4,WSH131,12,R20-A2,R20,37,Bleached
2,H4,WSH132,13,R35-A2,R35,37,Mortality
2,A5,WSH133,14,R40-A2,R40,37,Control
2,B5,WSH134,15,R17-A1,R17,0,Control
2,C5,WSH135,16,R29-A2,R29,37,Bleached
2,D5,WSH136,17,R11-A2,R11,37,Mortality
2,E5,WSH137,23,R20-A4,R20,52,Bleached
2,F5,WSH138,24,R28-A4,R28,52,Mortality
2,G5,WSH139,29,R19-A1,R19,0,Bleached
2,H5,WSH140,30,R20-A1,R20,0,Bleached
2,A6,WSH141,31,R8-A1,R8,0,Bleached
2,B6,WSH142,32,R11-A1,R11,0,Mortality
2,C6,WSH143,33,R32-A4,R32,52,Control
2,D6,WSH144,34,R7-A4,R7,52,Control
2,E6,WSH145,35,R32-A2,R32,37,Control
2,F6,WSH146,36,R28-A2,R28,37,Mortality
2,G6,WSH147,37,R7-A2,R7,37,Control
2,H6,WSH148,39,R19-A2,R19,37,Bleached
2,A7,WSH149,40,R36-A4,R36,52,Mortality
2,B7,WSH150,41,R35-A4,R35,52,Mortality
2,C7,WSH151,43,R8-A4,R8,52,Bleached
2,D7,WSH152,44,R29-A1,R29,0,Bleached
2,E7,WSH153,46,R26-A1,R26,0,Mortality
2,F7,WSH154,49,R19-A4,R19,52,Bleached
2,G7,WSH155,51,R17-A2,R17,37,Control
2,H7,WSH156,53,R37-A2,R37,37,Bleached
2,A8,WSH157,54,R32-A1,R32,0,Control
2,B8,WSH158,55,R36-A1,R36,0,Mortality
2,C8,WSH159,56,R7-A1,R7,0,Control
2,D8,WSH160,57,R26-A2,R26,37,Mortality
2,E8,WSH161,58,R8-A2,R8,37,Bleached
2,F8,WSH162,62,R36-A2,R36,37,Mortality
2,G8,WSH163,63,R11-A4,R11,52,Mortality
2,H8,WSH164,65,R29-A4,R29,52,Bleached
2,A9,WSH165,67,R23-A1,R23,0,Control
2,B9,WSH166,68,R35-A1,R35,0,Mortality
2,C9,WSH167,71,R28-A1,R28,0,Mortality
2,D9,WSH168,73,R23-A4,R23,52,Control
2,E9,WSH169,74,R37-A4,R37,52,Bleached
2,F9,WSH170,80,R40-A4,R40,52,Control
2,G9,WSH171,87,R26-A4,R26,52,Mortality
2,H9,WSH172,88,R40-A1,R40,0,Control
2,A10,WSH173,89,R17-A4,R17,52,Control
