Well,485
A1,0.289
B1,0.144
C1,0.508
D1,0.235
E1,0.286
F1,0.178
G1,0.368
H1,0.18
A2,0.291
B2,0.145
C2,0.507
D2,0.242
E2,0.284
F2,0.18
G2,0.37
H2,0.173
A3,0.298
B3,0.151
C3,0.517
D3,0.242
E3,0.28
F3,0.182
G3,0.376
H3,0.172
A4,0.325
B4,0.14
C4,0.325
D4,0.174
E4,0.228
F4,0.168
G4,0.31
H4,0.155
A5,0.323
B5,0.135
C5,0.324
D5,0.17
E5,0.227
F5,0.169
G5,0.31
H5,0.153
A6,0.318
B6,0.134
C6,0.328
D6,0.17
E6,0.225
F6,0.17
G6,0.31
H6,0.152
A7,0.32
B7,0.166
C7,0.43
D7,0.164
E7,0.507
F7,0.217
G7,0.23
H7,0.134
A8,0.311
B8,0.164
C8,0.43
D8,0.165
E8,0.508
F8,0.218
G8,0.234
H8,0.136
A9,0.316
B9,0.162
C9,0.431
D9,0.168
E9,0.509
F9,0.215
G9,0.232
H9,0.135
A10,0.377
B10,0.193
C10,0.374
D10,0.14
E10,0.162
F10,0.345
G10,0.128
H10,0.046
A11,0.371
B11,0.194
C11,0.369
D11,0.144
E11,0.166
F11,0.347
G11,0.134
H11,0.046
A12,0.374
B12,0.191
C12,0.378
D12,0.141
E12,0.164
F12,0.341
G12,0.125
H12,0.046
