Well,562
A1,2.09
B1,1.43
C1,1.081
D1,0.823
E1,0.623
F1,0.366
G1,0.237
H1,0.11
A2,2.383
B2,1.848
C2,1.298
D2,0.996
E2,0.701
F2,0.408
G2,0.253
H2,0.112
A3,2.243
B3,1.707
C3,1.229
D3,0.974
E3,0.644
F3,0.435
G3,0.271
H3,0.114
A4,0.081
B4,0.373
C4,0.469
D4,0.312
E4,0.287
F4,0.319
G4,0.263
H4,0.246
A5,0.081
B5,0.369
C5,0.431
D5,0.305
E5,0.28
F5,0.303
G5,0.285
H5,0.243
A6,0.082
B6,0.389
C6,0.464
D6,0.305
E6,0.284
F6,0.307
G6,0.284
H6,0.244
A7,0.223
B7,0.304
C7,0.287
D7,0.378
E7,0.42
F7,0.246
G7,0.26
H7,0.5
A8,0.214
B8,0.294
C8,0.313
D8,0.408
E8,0.461
F8,0.295
G8,0.249
H8,0.504
A9,0.221
B9,0.307
C9,0.312
D9,0.424
E9,0.448
F9,0.292
G9,0.25
H9,0.506
A10,0.5
B10,0.486
C10,0.438
D10,0.373
E10,0.371
F10,0.464
G10,0.601
H10,0.405
A11,0.589
B11,0.473
C11,0.43
D11,0.401
E11,0.358
F11,0.508
G11,0.579
H11,0.384
A12,0.558
B12,0.492
C12,0.464
D12,0.381
E12,0.395
F12,0.516
G12,0.609
H12,0.418
