Date,Sample.ID,Fragment.ID,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Fragment.Number,Sample.Type,Temp.Cat,Water.Height.cm,Chamber.Vol.L,Surf.Area.cm2,Start.Tme.Light,Stop.Time.Light,Start.Tme.Dark,Stop.Time.Dark,Notes,QC
20190815,R21,R21,NA,1,1,NA,1,P.astreoides,NA,Sample,Hot,22.9,,,9:22,9:51,9:57,10:19,,
20190815,R3,R3,NA,2,2,NA,1,P.astreoides,NA,Sample,Hot,23,,,9:22,9:51,9:57,10:19,,
20190815,R36,R36,NA,3,3,NA,1,P.astreoides,NA,Sample,Hot,23.1,,,9:22,9:51,9:57,10:19,,
20190815,R35,R35,NA,4,4,NA,1,P.astreoides,NA,Sample,Hot,23.3,,,9:22,9:51,9:57,10:19,,
20190815,BLANK1-HOT,BLANK1-HOT,NA,5,5,NA,1,P.astreoides,NA,Blank,Hot,23.7,,,9:22,9:51,9:57,10:19,,
20190815,BLANK1-AMB,BLANK1-AMB,NA,6,6,NA,1,P.astreoides,NA,Blank,Ambient,23.7,,,9:22,9:51,9:57,10:19,,
20190815,R39,R39,NA,7,7,NA,1,P.astreoides,NA,Sample,Ambient,23.3,,,9:22,9:51,9:57,10:19,,
20190815,R22,R22,NA,8,8,NA,1,P.astreoides,NA,Sample,Ambient,23.2,,,9:22,9:51,9:57,10:19,,
20190815,R18,R18,NA,9,9,NA,1,P.astreoides,NA,Sample,Ambient,22.9,,,9:22,9:51,9:57,10:19,,
20190815,R1,R1,NA,10,10,NA,1,P.astreoides,NA,Sample,Ambient,22.9,,,9:22,9:51,9:57,10:19,,
20190815,R31,R31,NA,1,1,NA,2,P.astreoides,NA,Sample,Hot,23,,,10:34,10:59,11:06,11:27,,
20190815,R11,R11,NA,2,2,NA,2,P.astreoides,NA,Sample,Hot,23.4,,,10:34,10:59,11:06,11:27,,
20190815,R24,R24,NA,3,3,NA,2,P.astreoides,NA,Sample,Hot,22.9,,,10:34,10:59,11:06,11:27,,
20190815,R20,R20,NA,4,4,NA,2,P.astreoides,NA,Sample,Hot,22.6,,,10:34,10:59,11:06,11:27,,
20190815,BLANK2-HOT,BLANK2-HOT,NA,5,5,NA,2,P.astreoides,NA,Blank,Hot,23.7,,,10:34,10:59,11:06,11:27,,
20190815,BLANK2-AMB,BLANK2-AMB,NA,6,6,NA,2,P.astreoides,NA,Blank,Ambient,23.7,,,10:34,10:59,11:06,11:27,,
20190815,R2,R2,NA,7,7,NA,2,P.astreoides,NA,Sample,Ambient,23.2,,,10:34,10:59,11:06,11:27,,
20190815,R7,R7,NA,8,8,NA,2,P.astreoides,NA,Sample,Ambient,22.8,,,10:34,10:59,11:06,11:27,,
20190815,R40,R40,NA,9,9,NA,2,P.astreoides,NA,Sample,Ambient,23,,,10:34,10:59,11:06,11:27,,
20190815,R33,R33,NA,10,10,NA,2,P.astreoides,NA,Sample,Ambient,22.9,,,10:34,10:59,11:06,11:27,,
20190815,R38,R38,NA,1,1,NA,3,P.astreoides,NA,Sample,Hot,23.2,,,11:43,12:12,12:18,12:40,,
20190815,R37,R37,NA,2,2,NA,3,P.astreoides,NA,Sample,Hot,23.2,,,11:43,12:12,12:18,12:40,,
20190815,R12,R12,NA,3,3,NA,3,P.astreoides,NA,Sample,Hot,22.7,,,11:43,12:12,12:18,12:40,,
20190815,R29,R29,NA,4,4,NA,3,P.astreoides,NA,Sample,Hot,23,,,11:43,12:12,12:18,12:40,,
20190815,BLANK3-HOT,BLANK3-HOT,NA,5,5,NA,3,P.astreoides,NA,Blank,Hot,23.7,,,11:43,12:12,12:18,12:40,,
20190815,BLANK3-AMB,BLANK3-AMB,NA,6,6,NA,3,P.astreoides,NA,Blank,Ambient,23.7,,,11:43,12:12,12:18,12:40,,
20190815,R32,R32,NA,7,7,NA,3,P.astreoides,NA,Sample,Ambient,22.6,,,11:43,12:12,12:18,12:40,,
20190815,R10,R10,NA,8,8,NA,3,P.astreoides,NA,Sample,Ambient,23.3,,,11:43,12:12,12:18,12:40,,
20190815,R15,R15,NA,9,9,NA,3,P.astreoides,NA,Sample,Ambient,23.4,,,11:43,12:12,12:18,12:40,,
20190815,R16,R16,NA,10,10,NA,3,P.astreoides,NA,Sample,Ambient,23.3,,,11:43,12:12,12:18,12:40,,
20190815,R28,R28,NA,1,1,NA,4,P.astreoides,NA,Sample,Hot,23.3,,,12:56,13:22,13:26,13:47,,
20190815,R8,R8,NA,2,2,NA,4,P.astreoides,NA,Sample,Hot,22.9,,,12:56,13:22,13:26,13:47,,
20190815,R26,R26,NA,3,3,NA,4,P.astreoides,NA,Sample,Hot,22.7,,,12:56,13:22,13:26,13:47,,
20190815,R19,R19,NA,4,4,NA,4,P.astreoides,NA,Sample,Hot,23.3,,,12:56,13:22,13:26,13:47,,
20190815,BLANK4-HOT,BLANK4-HOT,NA,5,5,NA,4,P.astreoides,NA,Blank,Hot,23.7,,,12:56,13:22,13:26,13:47,,
20190815,BLANK4-AMB,BLANK4-AMB,NA,6,6,NA,4,P.astreoides,NA,Blank,Ambient,23.7,,,12:56,13:22,13:26,13:47,,
20190815,R34,R34,NA,7,7,NA,4,P.astreoides,NA,Sample,Ambient,23.5,,,12:56,13:22,13:26,13:47,,
20190815,R17,R17,NA,8,8,NA,4,P.astreoides,NA,Sample,Ambient,22.8,,,12:56,13:22,13:26,13:47,,
20190815,R23,R23,NA,9,9,NA,4,P.astreoides,NA,Sample,Ambient,22.9,,,12:56,13:22,13:26,13:47,,
20190815,R5,R5,NA,10,10,NA,4,P.astreoides,NA,Sample,Ambient,23.5,,,12:56,13:22,13:26,13:47,,
20190815,R30,R30,NA,1,1,NA,5,P.astreoides,NA,Sample,Hot,22.9,,,14:01,14:28,14:31,14:54,,
20190815,R27,R27,NA,2,2,NA,5,P.astreoides,NA,Sample,Hot,22.9,,,14:01,14:28,14:31,14:54,,
20190815,R4,R4,NA,3,3,NA,5,P.astreoides,NA,Sample,Hot,22.8,,,14:01,14:28,14:31,14:54,,
NA,NA,NA,NA,4,4,NA,5,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,
20190815,BLANK5-HOT,BLANK5-HOT,NA,5,5,NA,5,P.astreoides,NA,Blank,Hot,23.7,,,14:01,14:28,14:31,14:54,,
20190815,BLANK5-AMB,BLANK5-AMB,NA,6,6,NA,5,P.astreoides,NA,Blank,Ambient,23.7,,,14:01,14:28,14:31,14:54,,
20190815,R14,R14,NA,7,7,NA,5,P.astreoides,NA,Sample,Ambient,22.6,,,14:01,14:28,14:31,14:54,,
20190815,R6,R6,NA,8,8,NA,5,P.astreoides,NA,Sample,Ambient,23,,,14:01,14:28,14:31,14:54,,
20190815,R25,R25,NA,9,9,NA,5,P.astreoides,NA,Sample,Ambient,23,,,14:01,14:28,14:31,14:54,,
20190815,R13,R13,NA,10,10,NA,5,P.astreoides,NA,Sample,Ambient,23.3,,,14:01,14:28,14:31,14:54,,
