Date,Sample.ID,Fragment.ID,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Fragment.Number,Sample.Type,Temp.Cat,Water.Height.cm,Chamber.Vol.L,Surf.Area.cm2,Start.Tme.Light,Stop.Time.Light,Start.Tme.Dark,Stop.Time.Dark,Notes,QC
20190823,R3,R3,NA,1,1,NA,1,P.astreoides,NA,Sample,Hot,23.2,,,11:29,11:51,11:55,12:15,,
20190823,R21,R21,NA,2,2,NA,1,P.astreoides,NA,Sample,Hot,23.4,,,11:29,11:51,11:55,12:15,,
20190823,R26,R26,NA,3,3,NA,1,P.astreoides,NA,Sample,Hot,22.8,,,11:29,11:51,11:55,12:15,,
20190823,R27,R27,NA,4,4,NA,1,P.astreoides,NA,Sample,Hot,23.1,,,11:29,11:51,11:55,12:15,,
20190823,BLANK1-HOT,BLANK1-HOT,NA,5,5,NA,1,P.astreoides,NA,Blank,Hot,23.7,,,11:29,11:51,11:55,12:15,,
20190823,BLANK1-AMB,BLANK1-AMB,NA,6,6,NA,1,P.astreoides,NA,Blank,Ambient,23.7,,,11:29,11:51,11:55,12:15,,
20190823,R1,R1,NA,7,7,NA,1,P.astreoides,NA,Sample,Ambient,23,,,11:29,11:51,11:55,12:15,,
20190823,R33,R33,NA,8,8,NA,1,P.astreoides,NA,Sample,Ambient,23.2,,,11:29,11:51,11:55,12:15,,
20190823,R39,R39,NA,9,9,NA,1,P.astreoides,NA,Sample,Ambient,23.4,,,11:29,11:51,11:55,12:15,,
20190823,R22,R22,NA,10,10,NA,1,P.astreoides,NA,Sample,Ambient,23.2,,,11:29,11:51,11:55,12:15,,
20190823,R37,R37,NA,1,1,NA,2,P.astreoides,NA,Sample,Hot,23.3,,,12:35,12:58,13:01,13:24,,
20190823,R31,R31,NA,2,2,NA,2,P.astreoides,NA,Sample,Hot,23.2,,,12:35,12:58,13:01,13:24,,
20190823,R35,R35,NA,3,3,NA,2,P.astreoides,NA,Sample,Hot,23.1,,,12:35,12:58,13:01,13:24,,
20190823,R24,R24,NA,4,4,NA,2,P.astreoides,NA,Sample,Hot,22.3,,,12:35,12:58,13:01,13:24,,
20190823,BLANK2-HOT,BLANK2-HOT,NA,5,5,NA,2,P.astreoides,NA,Blank,Hot,23.7,,,12:35,12:58,13:01,13:24,,
20190823,BLANK2-AMB,BLANK2-AMB,NA,6,6,NA,2,P.astreoides,NA,Blank,Ambient,23.7,,,12:35,12:58,13:01,13:24,,
20190823,R18,R18,NA,7,7,NA,2,P.astreoides,NA,Sample,Ambient,23.1,,,12:35,12:58,13:01,13:24,,
20190823,R15,R15,NA,8,8,NA,2,P.astreoides,NA,Sample,Ambient,23.3,,,12:35,12:58,13:01,13:24,,
20190823,R32,R32,NA,9,9,NA,2,P.astreoides,NA,Sample,Ambient,23.3,,,12:35,12:58,13:01,13:24,,
20190823,R16,R16,NA,10,10,NA,2,P.astreoides,NA,Sample,Ambient,23.2,,,12:35,12:58,13:01,13:24,,
20190823,R36,R36,NA,1,1,NA,3,P.astreoides,NA,Sample,Hot,23.2,,,13:41,14:01,14:04,14:19,,
20190823,R29,R29,NA,2,2,NA,3,P.astreoides,NA,Sample,Hot,23.3,,,13:41,14:01,14:04,14:19,,
20190823,R11,R11,NA,3,3,NA,3,P.astreoides,NA,Sample,Hot,23.2,,,13:41,14:01,14:04,14:19,,
20190823,R20,R20,NA,4,4,NA,3,P.astreoides,NA,Sample,Hot,22.7,,,13:41,14:01,14:04,14:19,,
20190823,BLANK3-HOT,BLANK3-HOT,NA,5,5,NA,3,P.astreoides,NA,Blank,Hot,23.7,,,13:41,14:01,14:04,14:19,,
20190823,BLANK3-AMB,BLANK3-AMB,NA,6,6,NA,3,P.astreoides,NA,Blank,Ambient,23.7,,,13:41,14:01,14:04,14:19,,
20190823,R7,R7,NA,7,7,NA,3,P.astreoides,NA,Sample,Ambient,23,,,13:41,14:01,14:04,14:19,,
20190823,R23,R23,NA,8,8,NA,3,P.astreoides,NA,Sample,Ambient,23,,,13:41,14:01,14:04,14:19,,
20190823,R17,R17,NA,9,9,NA,3,P.astreoides,NA,Sample,Ambient,22.8,,,13:41,14:01,14:04,14:19,,
20190823,R2,R2,NA,10,10,NA,3,P.astreoides,NA,Sample,Ambient,23.2,,,13:41,14:01,14:04,14:19,,
20190823,R19,R19,NA,1,1,NA,4,P.astreoides,NA,Sample,Hot,23.4,,,14:33,14:53,14:57,,,
20190823,R28,R28,NA,2,2,NA,4,P.astreoides,NA,Sample,Hot,23.4,,,14:33,14:53,14:57,,,
20190823,R38,R38,NA,3,3,NA,4,P.astreoides,NA,Sample,Hot,23.2,,,14:33,14:53,14:57,,,
20190823,R8,R8,NA,4,4,NA,4,P.astreoides,NA,Sample,Hot,22.8,,,14:33,14:53,14:57,,,
20190823,BLANK4-HOT,BLANK4-HOT,NA,5,5,NA,4,P.astreoides,NA,Blank,Hot,23.7,,,14:33,14:53,14:57,,,
20190823,BLANK4-AMB,BLANK4-AMB,NA,6,6,NA,4,P.astreoides,NA,Blank,Ambient,23.7,,,14:33,14:53,14:57,,,
20190823,R25,R25,NA,7,7,NA,4,P.astreoides,NA,Sample,Ambient,23.1,,,14:33,14:53,14:57,,,
20190823,R6,R6,NA,8,8,NA,4,P.astreoides,NA,Sample,Ambient,23.1,,,14:33,14:53,14:57,,,
20190823,R5,R5,NA,9,9,NA,4,P.astreoides,NA,Sample,Ambient,23.6,,,14:33,14:53,14:57,,,
20190823,R34,R34,NA,10,10,NA,4,P.astreoides,NA,Sample,Ambient,23.3,,,14:33,14:53,14:57,,,
20190823,R12,R12,NA,1,1,NA,5,P.astreoides,NA,Sample,Hot,23,,,15:19,15:35,,,,
NA,NA,NA,NA,2,2,NA,5,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,
NA,NA,NA,NA,3,3,NA,5,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,
NA,NA,NA,NA,4,4,NA,5,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,
20190823,BLANK5-HOT,BLANK5-HOT,NA,5,5,NA,5,P.astreoides,NA,Blank,Hot,23.7,,,15:19,15:35,,,,
20190823,BLANK5-AMB,BLANK5-AMB,NA,6,6,NA,5,P.astreoides,NA,Blank,Ambient,23.7,,,15:19,15:35,,,,
20190823,R13,R13,NA,7,7,NA,5,P.astreoides,NA,Sample,Ambient,23.4,,,15:19,15:35,,,,
20190823,R40,R40,NA,8,8,NA,5,P.astreoides,NA,Sample,Ambient,23,,,15:19,15:35,,,,
20190823,R10,R10,NA,9,9,NA,5,P.astreoides,NA,Sample,Ambient,23,,,15:19,15:35,,,,
20190823,R14,R14,NA,10,10,NA,5,P.astreoides,NA,Sample,Ambient,23.3,,,15:19,15:35,,,,
